"inn_clean","ema_ma_date","orphan_flag"
"canagliflozin;metformin",2014-04-23,"No"
"canakinumab",2009-10-23,"No"
"cangrelor",2015-03-23,"No"
"cannabidiol",2019-09-19,"Yes"
"capecitabine",2001-02-02,"No"
"capivasertib",2024-06-17,"No"
"caplacizumab",2018-08-30,"Yes"
"capmatinib",2022-06-20,"No"
"capsaicin",2009-05-15,"No"
"carfilzomib",2015-11-19,"No"
"carglumic acid",2003-01-24,"No"
"cariprazine",2017-07-13,"No"
"carmustine",2018-07-18,"No"
"caspofungin",2001-10-23,"No"
"catridecacog",2012-09-03,"No"
"catumaxomab",2025-02-10,"No"
"cedazuridine;decitabine",2023-09-15,"No"
"cefepime;enmetazobactam",2024-03-21,"No"
"cefiderocol",2020-04-23,"No"
"ceftaroline fosamil",2012-08-22,"No"
"ceftazidime;avibactam",2016-06-23,"No"
"ceftolozane;tazobactam",2015-09-18,"No"
"cemiplimab",2019-06-28,"No"
"cenegermin",2017-07-06,"Yes"
"cenobamate",2021-03-26,"No"
"ceritinib",2015-05-06,"No"
"cerliponase alfa",2017-05-30,"Yes"
"certolizumab pegol",2009-10-01,"No"
"cetrorelix",1999-04-12,"No"
"cetuximab",2004-06-29,"No"
"chenodeoxycholic acid",2017-04-10,"Yes"
"chikungunya vaccine (live)",2024-06-28,"No"
"chikungunya vaccine (recombinant, adsorbed)",2025-02-28,"No"
"chlormethine",2017-03-03,"Yes"
"cholera vaccine (inactivated, oral)",2004-04-28,"No"
"cholera vaccine, oral, live",2020-04-01,"No"
"cholic acid",2013-09-12,"No"
"choriogonadotropin alfa",2001-02-02,"No"
"ciclosporin",2015-03-19,"No"
"ciltacabtagene autoleucel",2022-05-25,"Yes"
"cinacalcet",2015-11-19,"No"
"cipaglucosidase alfa",2023-03-20,"No"
"cladribine",2004-04-14,"No"
"clascoterone",2025-10-17,"No"
"clesrovimab",2026-04-15,"No"
"clofarabine",2006-05-29,"No"
"clopidogrel",1998-07-14,"No"
"clopidogrel;acetylsalicylic acid",2010-03-14,"No"
"cobicistat",2013-09-19,"No"
"cobimetinib",2015-11-20,"No"
"colesevelam",2004-03-09,"No"
"colistimethate sodium",2012-02-13,"No"
"concentrate of proteolytic enzymes enriched in bromelain",2012-12-18,"No"
"concizumab",2024-12-13,"No"
"conestat alfa",2010-10-28,"No"
"copper (64cu) chloride",2012-08-23,"No"
"corifollitropin alfa",2010-01-25,"No"
"covid-19 mrna vaccine",2020-12-21,"No"
"covid-19 vaccine (recombinant, adjuvanted)",2021-12-20,"No"
"crisantaspase",2023-09-15,"No"
"crizotinib",2012-10-23,"No"
"crovalimab",2024-08-22,"No"
"dabigatran etexilate",2008-03-17,"No"
"dabrafenib",2013-08-26,"No"
"dacomitinib",2019-04-02,"No"
"dalbavancin",2015-02-19,"No"
"damoctocog alfa pegol",2018-11-22,"No"
"danicopan",2024-04-19,"Yes"
"dantrolene sodium, hemiheptahydrate",2024-05-29,"No"
"dapagliflozin",2012-11-11,"No"
"dapagliflozin;metformin",2014-01-16,"No"
"daptomycin",2006-01-19,"No"
"daratumumab",2016-05-20,"Yes"
"darbepoetin alfa",2001-06-08,"No"
"daridorexant",2022-04-29,"No"
"darifenacin hydrobromide",2004-10-22,"No"
"darolutamide",2020-03-27,"No"
"darunavir",2007-02-11,"No"
"darunavir;cobicistat",2014-11-19,"No"
"darunavir;cobicistat;emtricitabine;tenofovir alafenamide",2017-09-21,"No"
"dasatinib",2024-07-26,"No"
"dasatinib (anhydrous)",2006-11-20,"No"
"dasiglucagon",2024-07-24,"No"
"datopotamab deruxtecan",2025-04-04,"No"
"daunorubicin;cytarabine",2018-08-23,"Yes"
"decitabine",2012-09-20,"No"
"defatted powder of arachis hypogaea l., semen (peanuts)",2020-12-17,"No"
"deferasirox",2006-08-28,"No"
"deferiprone",1999-08-25,"No"
"defibrotide",2013-10-18,"No"
"degarelix",2009-02-17,"No"
"delafloxacin",2019-12-16,"No"
"delamanid",2014-04-27,"No"
"delgocitinib",2024-09-19,"No"
"dengue tetravalent vaccine (live, attenuated)",2022-12-05,"No"
"denosumab",2010-05-26,"No"
"depemokimab",2026-02-12,"No"
"desloratadine",2001-01-15,"No"
"desloratadine;pseudoephedrine",2007-07-30,"No"
"deucravacitinib",2023-03-24,"No"
"deutetrabenazine",2026-01-08,"No"
"deutivacaftor / tezacaftor / vanzacaftor",2025-06-30,"Yes"
"dexamethasone",2010-07-26,"No"
"dexmedetomidine",2011-09-15,"No"
"dexrazoxane",2006-07-27,"No"
"dibotermin alfa",2002-09-09,"No"
"difelikefalin",2022-04-25,"No"
"diflunisal",2025-07-17,"No"
"dimethyl fumarate",2014-01-30,"No"
"dinutuximab beta",2017-05-08,"Yes"
"diphtheria (d), tetanus (t), pertussis (acellular, component) (pa), hepatitis b (rdna) (hbv), poliomyelitis (inactivated) (ipv) and haemophilus influenzae type-b (hib) conjugate vaccine (adsorbed)",2000-10-23,"No"
"diphtheria, tetanus, pertussis (acellular, component), hepatitis b (rdna), poliomyelitis (inactivated) and haemophilus influenzae type b conjugate vaccine (adsorbed)",2013-04-17,"No"
"diphtheria, tetanus, pertussis (acellular, component), hepatitis b (rdna), poliomyelitis (inactivated) and haemophilus type b conjugate vaccine (adsorbed)",2016-02-15,"No"
"diroximel fumarate",2021-11-15,"No"
"docetaxel",1995-11-27,"No"
"dolutegravir",2014-01-16,"No"
"dolutegravir;lamivudine",2019-07-01,"No"
"dolutegravir;rilpivirine",2018-05-16,"No"
"donanemab",2025-09-24,"No"
"donidalorsen",2026-01-19,"No"
"dopamine hydrochloride",2024-05-27,"No"
"doravirine",2018-11-22,"No"
"doravirine;lamivudine;tenofovir disoproxil",2018-11-22,"No"
